visual_node_id,pmid,node_id,degree,component_rank,title,conclusion_text
42343233,42343233,N000001,5,1,"Effect of pasteurized Akkermansia muciniphila MucT on insulin sensitivity, body composition, and GLP-1 production in subjects with metabolic syndrome: impact of low baseline gut Akkermansia levels.","The reported benefits included improved insulin sensitivity (as shown by Matsuda and HOMA-S indices) and GLP-1 excursion (post-OGTT) (p < 0.05), reductions in body weight (p = 0.06) and decreased trunk fat (p < 0.05). In conclusion, daily supplementation with pasteurized A. muciniphila MucT has the potential to improve health markers in overweight or obese normo- or dysglycemic adults with the most significant improvements in subjects with low baseline intestinal Akkermansia levels, who are apparently truly in need of this intervention."
42323844,42323844,N000002,6,1,Caffeine makes a splash: a systematic review and multilevel meta-analysis exploring the effects of caffeine intake on swimming performance.,"Acute caffeine ingestion confers a moderate ergogenic benefit for swimming performance (SMD = 0.57, 1.7% improvement) and is associated with higher post-test blood lactate (MD = 0.85 mmol/L). Dose (≥6 mg/kg) may be associated with larger performance benefits, whereas lactate responses appear more pronounced in freestyle and shorter events. However, these subgroup findings are hypothesis-generating and require exploration."
42247558,42247558,N000005,1,1,Effects of caffeine gum on same-day and subsequent neuromuscular performance under a standardized resistance-priming condition in male basketball players.,"Within a standardized RP context, CAF3 and CAF6 caffeine gum were associated with improved same-day neuromuscular performance and higher RP barbell velocity compared with PLA, but no additional between-condition advantages were observed at 24 h or 48 h. Because this study did not include pre-intervention baseline testing, a caffeine-only condition, or a no-RP control condition, the findings should be interpreted as caffeine-related differences within an RP context rather than direct evidence of the independent effects of caffeine, RP, or their interaction."
42342240,42342240,N000008,8,1,Thoracic paravertebral block with different doses of liposomal bupivacaine versus ropivacaine for postoperative analgesia in single-port thoracoscopic lung surgery: a randomized clinical trial.,LB combined with TPVB is not superior to ropivacaine for postoperative analgesia in single-port thoracoscopic lung resection.
42339852,42339852,N000009,1,1199,Paracervical block in office hysteroscopy with vaginoscopic approach to reduce patients' pain perception: a propensity score matching analysis.,"Overall, in this large retrospective cohort, paracervical block performed through a vaginoscopic approach was associated with reduced pain perception and procedure suspension in selected patients."
42339818,42339818,N000010,8,1,"Impact of oliceridine versus sufentanil on postoperative nausea and vomiting in patients undergoing thyroid surgery: a prospective, double-blind, randomized controlled trial.","For young ASA I-II patients undergoing thyroid surgery, oliceridine yields adequate postoperative analgesia and lower PONV rates versus sufentanil."
42336367,42336367,N000012,2,112,Nephrotoxic medication burden and drug-related problems in patients with chronic kidney disease using SGLT2 inhibitors.,"No clinically overt nephrotoxic events were observed during follow-up, and nephrotoxicity burden was not significantly associated with estimated kidney failure risk The study provides real-world descriptive data on nephrotoxic medication exposure, drug-related problems, and clinical pharmacist-led medication review among CKD patients receiving SGLT2i in a nephrology outpatient setting. Further prospective controlled studies are needed to clarify the clinical impact of pharmacist-led medication review on patient."
42296016,42296016,N000014,3,292,Do subjective and objective baseline sleep disturbances predict post-traumatic stress disorder treatment response? A secondary analysis of a randomized controlled trial.,"The reported findings suggest that sleep disturbances do not hinder the effectiveness of long-term trauma-focused PTSD treatment in women with complex trauma presentations, implying that sleep-specific interventions may not be a prerequisite for initiating trauma-focused treatment in this population."
42293717,42293717,N000020,8,1,Safety and Efficacy of Adalimumab Biosimilar in Psoriasis and Hidradenitis Suppurativa: A Clinical Experience.,"Adalimumab biosimilars demonstrate favorable efficacy and safety, particularly in prior responders. Patients with hidradenitis suppurativa showed consistent improvement. The low rate of adverse events and absence of new safety signals support safe clinical use."
42241799,42241799,N000022,1,1200,"Efficacy of a high-protein food for special medical purposes in midlife and older adults at risk of malnutrition: a multicenter, randomized, active-controlled clinical study.",Targeted 12-week nutritional intervention with a high-protein FSMP was associated with improvements in nutritional status and handgrip strength in adults at risk of malnutrition.
